iter	RMSE
186	0.1383499417
187	0.1382598189
188	0.138138954
189	0.1380480227
190	0.1379077569
191	0.137855886
192	0.1377936034
193	0.1377200904
194	0.1376536378
195	0.137580795
196	0.1374482872
197	0.1373205815
198	0.1372462217
199	0.1371963884
200	0.1371334665
201	0.1370598382
202	0.1369723801
203	0.1368307677
204	0.1367542492
205	0.1366885384
206	0.1366573612
207	0.1365741555
208	0.1365165727
209	0.1364454548
210	0.1363711032
211	0.136321737
212	0.1362509711
213	0.1362017566
214	0.1361295055
215	0.136046958
216	0.1359358647
217	0.1358129906
218	0.1357309478
219	0.1356364152
220	0.1355576007
221	0.1354990525
222	0.1353848139
223	0.1353295027
224	0.1352618017
225	0.135199972
226	0.1351238791
227	0.1350689034
228	0.1350083474
229	0.1349483764
230	0.1348865707
231	0.1347647634
232	0.1346671356
233	0.1346145559
234	0.1345412838
235	0.1344431316
236	0.1343217214
237	0.1342413867
238	0.1341748304
239	0.134120025
240	0.1340651966
241	0.133997154
242	0.1339558797
243	0.1338915626
244	0.1338466106
245	0.1337296623
246	0.1336426212
247	0.1335465781
248	0.133465481
249	0.1334021627
250	0.1333532483
251	0.1332866776
252	0.1332245983
253	0.1331616137
254	0.1330904955
255	0.1330286582
256	0.1329495193
257	0.132910812
258	0.1328395008
259	0.1327525789
260	0.132704762
261	0.1326647377
262	0.1326117238
263	0.1324930217
264	0.1324476742
265	0.1323929553
266	0.1323166937
267	0.1322764153
268	0.1322187343
269	0.1321617557
270	0.1321131749
271	0.132054574
272	0.1320137453
273	0.131937545
274	0.1318651474
275	0.1318344294
276	0.131777629
277	0.1317292647
278	0.1316632002
279	0.131583701
280	0.1315117919
281	0.1314568616
282	0.1313749642
283	0.1313149465
284	0.1312402282
285	0.1311918965
286	0.1311149591
287	0.1310481313
288	0.1309972596
289	0.1309449669
290	0.1308922571
291	0.1308135184
292	0.1307642087
293	0.1307136769
294	0.1306231531
295	0.1305766656
296	0.1305260914
297	0.130479426
298	0.1303982666
299	0.1303318197
300	0.1301532561
301	0.1301001432
302	0.1300442321
303	0.130004224
304	0.1299492154
305	0.1299086111
306	0.1298832341
307	0.1298363387
308	0.1297847252
309	0.1297253668
310	0.129637751
311	0.1295636854
312	0.1295029921
313	0.1294430018
314	0.1293604561
315	0.1293405421
316	0.1293032109
317	0.1292587837
318	0.1292206418
319	0.1291845673
320	0.1291225427
321	0.129084201
322	0.1290319598
323	0.1289889793
324	0.1289448589
325	0.1289071244
326	0.1288624375
327	0.1288195146
328	0.1287647564
329	0.1287017299
330	0.1286464481
331	0.1285880254
332	0.1285560502
333	0.1284982377
334	0.1284512472
335	0.1284185653
336	0.1283688803
337	0.1283229512
338	0.1282159063
339	0.1281397684
340	0.1281043879
341	0.1280633283
342	0.1280299617
343	0.1279848628
344	0.1279515886
345	0.1279162864
346	0.1278291484
347	0.1277856843
348	0.127749127
349	0.1277113168
350	0.1276385411
351	0.1275877614
352	0.1275533651
353	0.1275188991
354	0.127476001
355	0.1273977455
356	0.1273581894
357	0.12731681
358	0.1272520372
359	0.1272182975
360	0.1271828779
361	0.1271618974
362	0.1271289
363	0.1270911077
